Utd_id,Pass,Fname,Lname,Email,Phone_num
2026207240,gvYE2Mk,Maria ,Stanek,mrs000000@utdallas.edu,3463539534
2050870714,9shPEHWX,Samuel ,Xu,stu000000@utdallas.edu,2172942302
2081565972,rMHg9gPSaG,Pauline ,Goodman,psg000000@utdallas.edu,7145060768
4088147824,dHuB2AA,Alba ,Bowers,atb000000@utdallas.edu,3259488416
4063550051,crzLFa45nW,Mele ,McIver,mem000000@utdallas.edu,9317663582
2054743695,zMqPLruP8K,Iris ,Beumer,isb000000@utdallas.edu,6265516364
2071841462,vb8QmZP,Roza,Roman,ror000000@utdallas.edu,8592553114
2078202734,Crhp3MFn,Junina ,Drago,jld000000@utdallas.edu,6786794576
2016662142,6MEtyK,Jonatan,Gore,jsg000000@utdallas.edu,8087750829
2051019561,gkVGV3,Lata ,Cardona,llc000000@utdallas.edu,5596137777
2044606765,eRP2NsQrMZ,Simran,Gil,srg000000@utdallas.edu,9367679360
2085926861,u746Up,Jemmy,Bennet,jrb000000@utdallas.edu,4134435030
2096033415,dA9cqTB,David ,Rowe,dmr000000@utdallas.edu,7162370728
2026821835,NWMJaQcq,Pauline ,Michaels,pmm000000@utdallas.edu,7405332527
4048633145,SEtKj9MS,Rachel,Ownes,reo000000@utdallas.edu,9494179004
2063130395,uB2kPXsLaD,Nolan,Hoff,neh000000@utdallas.edu,3122203139
4058157045,esH9hX,Mohana,David,mad000000@utdallas.edu,8323356668
2094054751,yBKEGTN,Leslie,Valdez,lsv000000@utdallas.edu,5127781826
2073094405,BDrKty,Celeste ,Abbott,cna000000@utdallas.edu,9209765157
2044368326,WyuEc86q,Katherine,Klein,kek000000@utdallas.edu,2157417979
